seq_name,class,AMP_probablity
uniprot_nonamp_1,0,9.73735191524987e-25
uniprot_nonamp_2,0,4.09675095625062e-07
uniprot_nonamp_3,0,2.88850664910407e-26
uniprot_nonamp_4,0,7.12489770691284e-17
uniprot_nonamp_5,0,4.82774341337144e-11
uniprot_nonamp_6,0,0.000699193857144564
uniprot_nonamp_7,0,1.25694299413226e-07
uniprot_nonamp_8,0,7.26078526807219e-20
uniprot_nonamp_9,0,3.52048174581687e-16
uniprot_nonamp_10,0,5.2232583153968e-16
uniprot_nonamp_11,0,1.45910410933974e-23
uniprot_nonamp_12,0,5.82809966143827e-16
uniprot_nonamp_13,0,3.79460384216323e-15
uniprot_nonamp_14,0,1.01282773010863e-20
uniprot_nonamp_15,0,1.22790277945484e-10
uniprot_nonamp_16,0,1.75788898005126e-15
uniprot_nonamp_17,0,7.18513498435242e-17
uniprot_nonamp_18,0,9.12374662065217e-22
uniprot_nonamp_19,0,0.000100721212220378
uniprot_nonamp_20,0,1.14307458769721e-20
uniprot_nonamp_21,0,5.3933923299665e-12
uniprot_nonamp_22,0,1.22253275762342e-21
uniprot_nonamp_23,0,6.23832079327258e-08
uniprot_nonamp_24,0,0.00480615021660924
uniprot_nonamp_25,0,1.05092965579923e-11
uniprot_nonamp_26,0,1.33208743773401e-22
uniprot_nonamp_27,0,8.32506914967557e-13
uniprot_nonamp_28,0,5.06871877803405e-09
uniprot_nonamp_29,0,9.46427351341133e-23
uniprot_nonamp_30,0,1.01415776221661e-20
uniprot_nonamp_31,0,1.44889419906313e-10
uniprot_nonamp_32,0,6.1580789179061e-07
uniprot_nonamp_33,0,4.20093584807546e-07
uniprot_nonamp_34,0,1.21484768723706e-14
uniprot_nonamp_35,0,4.47467819135868e-18
uniprot_nonamp_36,0,1.38450873677969e-20
uniprot_nonamp_37,0,5.565512634087e-11
uniprot_nonamp_38,0,1.07066133736566e-09
uniprot_nonamp_39,0,6.24121849788544e-25
uniprot_nonamp_40,0,2.21529676655736e-13
uniprot_nonamp_41,0,3.21418679703495e-14
uniprot_nonamp_42,0,1.37613130846148e-06
uniprot_nonamp_43,0,2.47588506125815e-21
uniprot_nonamp_44,0,2.67012807197472e-26
uniprot_nonamp_45,0,7.74202575377083e-26
uniprot_nonamp_46,0,3.72325150096584e-24
uniprot_nonamp_47,0,6.9462392677467e-18
uniprot_nonamp_48,0,3.83084342026052e-10
uniprot_nonamp_49,0,2.52400781164397e-07
uniprot_nonamp_50,0,2.69885293792473e-18
uniprot_nonamp_51,0,1.21082739497069e-05
uniprot_nonamp_52,0,4.44182806990734e-15
uniprot_nonamp_53,0,3.53567815216532e-15
uniprot_nonamp_54,0,3.32261697622016e-05
uniprot_nonamp_55,0,3.22472777647409e-12
uniprot_nonamp_56,0,1.48790548444033e-30
uniprot_nonamp_57,0,2.76673432582176e-19
uniprot_nonamp_58,0,3.7091841076977e-19
uniprot_nonamp_59,0,2.22774365856732e-26
uniprot_nonamp_60,0,4.27848638214941e-20
uniprot_nonamp_61,0,6.50570433092148e-25
uniprot_nonamp_62,0,7.53243530103673e-15
uniprot_nonamp_63,0,3.7684063869392e-08
uniprot_nonamp_64,0,4.73610790017303e-19
uniprot_nonamp_65,0,7.48437041644479e-16
uniprot_nonamp_66,0,0.000888432434294373
uniprot_nonamp_67,0,5.80236097714917e-18
uniprot_nonamp_68,0,9.07603316591121e-06
uniprot_nonamp_69,0,1.76565464471423e-07
uniprot_nonamp_70,0,0.00729160709306598
uniprot_nonamp_71,0,1.72862033062224e-18
uniprot_nonamp_72,0,1.94512741133248e-18
uniprot_nonamp_73,0,9.87960602216731e-10
uniprot_nonamp_74,0,7.57305364606904e-24
uniprot_nonamp_75,0,5.6855206171302e-15
uniprot_nonamp_76,0,0.00659314030781388
uniprot_nonamp_77,0,1.98602350565125e-07
uniprot_nonamp_78,0,9.56623283877805e-23
uniprot_nonamp_79,0,2.36255345750698e-19
uniprot_nonamp_80,0,4.07176838945266e-19
uniprot_nonamp_81,0,5.53982180224663e-14
uniprot_nonamp_82,0,3.47369452439907e-18
uniprot_nonamp_83,0,4.52343681446327e-14
uniprot_nonamp_84,0,7.80704479059074e-31
uniprot_nonamp_85,0,3.72685349248059e-09
uniprot_nonamp_86,0,2.22498741639702e-15
uniprot_nonamp_87,0,3.25343698648339e-08
uniprot_nonamp_88,0,1.90857658219418e-24
uniprot_nonamp_89,0,3.32217609051089e-20
uniprot_nonamp_90,0,1.25142811411472e-22
uniprot_nonamp_91,0,6.97511127940781e-23
uniprot_nonamp_92,0,1.62911775471692e-27
uniprot_nonamp_93,0,0.152615323662758
uniprot_nonamp_94,0,0.000375276489648968
uniprot_nonamp_95,0,2.55888774857677e-20
uniprot_nonamp_96,0,1.23562135555693e-16
uniprot_nonamp_97,0,5.34144991236617e-26
uniprot_nonamp_98,0,7.70957973498411e-18
uniprot_nonamp_99,0,1.00666705776043e-23
uniprot_nonamp_100,0,6.5895928713644e-09
uniprot_nonamp_101,0,1.01736448495177e-23
uniprot_nonamp_102,0,4.89143781699113e-15
